
Bulbasaur Diamond           For some time after its birth, it grows by taking nourishment from the seed on its back.
Arbok Pearl         The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.

Pikachu Diamond           It lives in forests with others. It stores electricity in the electric sacs on its cheeks.

Pikachu Pearl         If it looses crackling power from the electric sacs on its cheeks, it is being wary.

Nidoran? Diamond           While this Pokémon does not prefer to fight, even one drop of the venom it secretes from its barbs can be fatal.

Nidoran? Pearl         While this Pokémon does not prefer to fight, even one drop of the venom it secretes from its barbs can be fatal.

Nidorina Diamond           When it senses danger, it raises all the barbs on its body. These barbs grow more slowly than Nidorino's.

Nidorina Pearl         When it senses danger, it raises all the barbs on its body. These barbs grow more slowly than Nidorino's.

Nidorino Diamond           It has a violent disposition and stabs foes with its horn, which oozes venom upon impact.

Nidorino Pearl         It has a violent disposition and stabs foes with its horn, which oozes venom upon impact.

Clefairy Pearl         Moonlight gathers on the wings on Clefairy's back, allowing Clefairy to fly. This Pokémon is difficult to find.

Clefable Pearl         Its hearing is so acute it can hear a pin drop over half a mile away. It lives on quiet mountains.

Ninetales Diamond           Its nine tails are said to be imbued with a mystic power. The Pokémon is said to live for 1,000 years.

Ninetales Pearl         Its nine tails are said to be imbued with a mystic power. The Pokémon is said to live for 1,000 years.

Zubat Diamond           Even though it has no eyes, it can sense obstacles using ultrasonic waves it emits from its mouth.

Gloom Diamond           The nectar it drools from its mouth smells so atrocious that it can make noses curl from more than a mile away.

Gloom Pearl         The nectar it drools from its mouth smells so atrocious that it can make noses curl from more than a mile away.

Parasect Diamond           Parasect is controlled by a mushroom that has grown larger than its host's body. The Pokémon scatters poisonous spores.

Parasect Pearl         It is controlled by the mushroom, which has grown larger than the bug body. It is said to prefer damp places.

Diglett Diamond           This Pokémon lives underground. Because of its dark habitat, it is repelled by bright sunlight.

Diglett Pearl         This Pokémon lives underground. Because of its dark habitat, it is repelled by bright sunlight.

Meowth Diamond           It is nocturnal by nature. If it spots something shiny, its eyes glitter as brightly as the shiny object.

Meowth Pearl         It is nocturnal by nature. If it spots something shiny, its eyes glitter as brightly as the shiny object.

Persian Diamond           It is a very haughty Pokémon. Among fans of Persian, the size of the jewel in its forehead is a topic of much talk.

Persian Pearl         It is a very haughty Pokémon. Among fans of Persian, the size of the jewel in its forehead is a topic of much talk.

Psyduck Diamond           If its usual headache worsens, it starts exhibiting odd powers. It can't remember doing so, however.

Golduck Diamond           This Pokémon lives in lakes. It swims faster than any world-class swimmer.

Mankey Diamond           It lives in treetop colonies. If one member of the group becomes enraged, the whole colony rampages for no reason.

Mankey Pearl         It lives in treetop colonies. If one member of the group becomes enraged, the whole colony rampages for no reason.

Primeape Diamond           It becomes angry if it sees an opponent's eyes and gets angrier if the opponent runs. Even after it beats the opponent, it is still angry.

Primeape Pearl         It becomes angry if it sees an opponent's eyes and gets angrier if the opponent runs. Even after it beats the opponent, it is still angry.

Growlithe Diamond           It is a Pokémon with a loyal nature. It will remain motionless until it is given an order by its Trainer.

Growlithe Pearl         It is a Pokémon with a loyal nature. It will remain motionless until it is given an order by its Trainer.

Poliwrath Diamond           With its extremely tough muscles, it could keep swimming in the Pacific Ocean without resting.

Poliwrath Pearl         With its extremely tough muscles, it could keep swimming in the Pacific Ocean without resting.

Kadabra Pearl         When it uses its psychic power, it emits strong alpha waves that can ruin precision instruments.

Machoke Diamond           Machoke's boundless power is very dangerous, so it wears a belt that suppresses its energy.

Machoke Pearl         It can lift a dump truck with one hand. Using that kind of strength, it helps people do heavy jobs.

Weepinbell Diamond           This Pokémon has the appearance of a plant. It captures unwary prey by dousing them with a toxic powder.

Weepinbell Pearl         This Pokémon has the appearance of a plant. It captures unwary prey by dousing them with a toxic powder.

Victreebel Diamond           In its mouth, it pools a fragrant nectar-like fluid. The fluid is really an acid that dissolves anything.

Victreebel Pearl         In its mouth, it pools a fragrant nectar-like fluid. The fluid is really an acid that dissolves anything.

Tentacool Diamond           Its body is mostly composed of water. It shoots strange beams from its crystal-like eyes.

Tentacool Pearl         It drifts in sea currents. Countless fishers are hurt by its poison stingers.

Geodude Diamond           Many live on mountain trails and remain half-buried while keeping an eye on climbers.

Geodude Pearl         It is impossible to distinguish from rocks. It slams against others in contests of toughness.

Graveler Diamond           Graveler make their homes on sheer cliff faces that have numerous holes in them.

Golem Diamond           It sheds its hide once a year. Its boulder-like body is so tough, even dynamite can't harm it.

Ponyta Diamond           About an hour after birth, Ponyta's fiery mane and tail grow out, giving the Pokémon an impressive appearance.

Ponyta Pearl         Its legs grow strong while it chases after its parents. It runs all day in fields and on mountains.

Slowbro Diamond           Though usually dim-witted, it seems to become inspired if the Shellder on its tail bites down.

Slowbro Pearl         Though usually dim-witted, it seems to become inspired if the Shellder on its tail bites down.

Magneton Diamond           A Magneton is actually three Magnemite linked by magnetism. A group of these Pokémon can set off a magnetic storm.

Magneton Pearl         A Magneton is actually three Magnemite linked by magnetism. A group of these Pokémon can set off a magnetic storm.

Farfetch'd Diamond           It can't live without the stalk it holds. That's why it defends the stalk from attackers with its life.

Farfetch'd Pearl         It can't live without the stalk it holds. That's why it defends the stalk from attackers with its life.

Doduo Diamond           The brains in its two heads appear to communicate emotions to each other with a telepathic power.

Doduo Pearl         The brains in its two heads appear to communicate emotions to each other with a telepathic power.

Dodrio Diamond           When Doduo evolves into this odd breed, one of its heads splits into two. This Pokémon runs at nearly 40 mph.

Dodrio Pearl         When Doduo evolves into this odd breed, one of its heads splits into two. This Pokémon runs at nearly 40 mph.

Seel Diamond           This Pokémon lives on icebergs. It uses the sharp point on its head to break up ice as it swims in the sea.

Seel Pearl         This Pokémon lives on icebergs. It uses the sharp point on its head to break up ice as it swims in the sea.

Grimer Diamond           It was born when sludge in a dirty stream was exposed to the moon's X-rays. It appears among filth.

Grimer Pearl         It was born when sludge in a dirty stream was exposed to the moon's X-rays. It appears among filth.

Muk Diamond           A toxic fluid seeps from its body. The fluid kills plants and trees immediately upon contact.

Muk Pearl         A toxic fluid seeps from its body. The fluid kills plants and trees immediately upon contact.

Gastly Diamond           This Pokémon's body is 95 percent made up of gases. The Pokémon can be blown away by strong gusts of wind.

Gastly Pearl         It's a Pokémon born from poison gases. It defeats even the largest foes by enveloping them in gas.

Haunter Pearl         It licks with its gaseous tongue to steal its victim's life-force. It lurks in darkness, waiting for prey.

Gengar Diamond           It hides in shadows. It is said that in rooms where Gengar is hiding, the temperature drops by nearly 10 degrees Fahrenheit.

Gengar Pearl         Lurking in the shadowy corners of rooms, it awaits chances to steal its prey's life-force.

Krabby Diamond           It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are lost in battle.

Krabby Pearl         It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are lost in battle.

Exeggutor Diamond           It is called the Walking Jungle. If a head grows too big, it falls off and becomes an Exeggcute.

Exeggutor Pearl         It is called the Walking Jungle. If a head grows too big, it falls off and becomes an Exeggcute.

Marowak Diamond           The bones it uses have been in its possession since it was born. It has a ferocious nature.

Marowak Pearl         The bones it uses have been in its possession since it was born. It has a ferocious nature.

Hitmonlee Diamond           Its legs can stretch to double their length. First-time foes are startled by Hitmonlee's extensible reach.

Hitmonlee Pearl         Its legs can stretch to double their length. First-time foes are startled by Hitmonlee's extensible reach.

Hitmonchan Diamond           When Hitmonchan twists its arm while throwing a punch, the blow will pulverize even concrete. The Pokémon rests after three minutes of fighting.

Hitmonchan Pearl         When Hitmonchan twists its arm while throwing a punch, the blow will pulverize even concrete. The Pokémon rests after three minutes of fighting.

Lickitung Diamond           Instead of its hands, it uses its tongue, which can stretch to twice this Pokémon's height. Lickitung's sticky saliva grips anything.

Lickitung Pearl         Instead of its hands, it uses its tongue, which can stretch to twice this Pokémon's height. Lickitung's sticky saliva grips anything.

Koffing Diamond           Lighter-than-air gases in its body keep it aloft. The gases not only smell; they are also explosive.

Koffing Pearl         Lighter-than-air gases in its body keep it aloft. The gases not only smell; they are also explosive.

Chansey Pearl         It lays several eggs a day and won't share them with those who have evil in their hearts.

Kangaskhan Diamond           It raises its offspring in its belly pouch. It lets its baby out to play only when it feels safe to do so.

Kangaskhan Pearl         It raises its offspring in its belly pouch. It lets its baby out to play only when it feels safe to do so.

Horsea Diamond           It makes its nest in the shade of corals. If it senses danger, it spits black ink and flees.

Horsea Pearl         It makes its nest in the shade of corals. If it senses danger, it spits black ink and flees.

Goldeen Pearl         It swims at a steady five knots. If it senses danger, it will strike back with its sharp horn.

Seaking Diamond           It makes its nest by hollowing out boulders in streams with its horn. The Pokémon defends its eggs with its life.

Staryu Diamond           If Staryu's body is damaged, it will regenerate as long as the red core remains. The core flashes at midnight.

Staryu Pearl         If Staryu's body is damaged, it will regenerate as long as the red core remains. The core flashes at midnight.

Starmie Diamond           At the center of its body is a red core that sends mysterious radio signals into the night sky.

Starmie Pearl         At the center of its body is a red core that sends mysterious radio signals into the night sky.

Scyther Diamond           It is nearly impossible to parry its attacking scythes. Its movements are like a ninja's.

Scyther Pearl         It is nearly impossible to parry its attacking scythes. Its movements are like a ninja's.

Magmar Diamond           It was born in the crater of a volcano. Its body is covered with flames that shimmer like the sun.

Magmar Pearl         It was born in the crater of a volcano. Its body is covered with flames that shimmer like the sun.

Pinsir Diamond           It grips prey with its pincers until the prey is torn apart. What it can't tear, it tosses far away.

Pinsir Pearl         It grips prey with its pincers until the prey is torn apart. What it can't tear, it tosses far away.

Tauros Diamond           Once it takes aim at its prey, it makes a headlong charge. It is famous for its violent nature.

Tauros Pearl         Once it takes aim at its prey, it makes a headlong charge. It is famous for its violent nature.

Magikarp Diamond           It is said to be the world's weakest Pokémon. No one knows why it has managed to survive.

Gyarados Diamond           Once Gyarados appears, its rage never settles until the Pokémon has razed the fields and mountains around it.

Eevee Diamond           It is a rare Pokémon that adapts to harsh environments by changing its appearance and capabilities when it evolves.

Eevee Pearl         It is a rare Pokémon that adapts to harsh environments by changing its appearance and capabilities when it evolves.

Vaporeon Diamond           It has evolved to be suited for an aquatic life. It can become invisible when it melts away into water.

Vaporeon Pearl         It has evolved to be suited for an aquatic life. It can become invisible when it melts away into water.

Jolteon Diamond           It controls 10,000-volt power. When the fur covering its body stands on end, the fur is hard and sharp, like needles.

Jolteon Pearl         It controls 10,000-volt power. When the fur covering its body stands on end, the fur is hard and sharp, like needles.

Porygon Diamond           The world's first artificially created Pokémon. It can travel through electronic space.

Porygon Pearl         The world's first artificially created Pokémon. It can travel through electronic space.

Omanyte Diamond           It's a Pokémon that was resurrected from a fossil using modern science. It swam in ancient seas.

Omanyte Pearl         It's a Pokémon that was resurrected from a fossil using modern science. It swam in ancient seas.

Kabuto Diamond           It is thought to have inhabited beaches 300 million years ago. It is protected by a sturdy shell.

Kabuto Pearl         It is thought to have inhabited beaches 300 million years ago. It is protected by a sturdy shell.

Aerodactyl Diamond           It's a Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.

Aerodactyl Pearl         It's a Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.

Snorlax Pearl         It stops eating only to sleep. It doesn't feel full unless it eats nearly 900 pounds a day.

Articuno Diamond           This legendary bird Pokémon can create blizzards by freezing moisture in the air.

Articuno Pearl         This legendary bird Pokémon can create blizzards by freezing moisture in the air.

Zapdos Diamond           This legendary Pokémon is said to live in thunderclouds. It freely controls lightning bolts.

Zapdos Pearl         This legendary Pokémon is said to live in thunderclouds. It freely controls lightning bolts.

Moltres Diamond           It is one of the legendary bird Pokémon. Its appearance is said to indicate the coming of spring.

Moltres Pearl         It is one of the legendary bird Pokémon. Its appearance is said to indicate the coming of spring.

Dratini Diamond           It is called the Mirage Pokémon because so few have seen it, but its shed skin has been found.

Dratini Pearl         It is called the Mirage Pokémon because so few have seen it, but its shed skin has been found.

Dragonite Diamond           It is said to make its home somewhere in the sea. It guides wrecked ships to shore.

Dragonite Pearl         It is said to make its home somewhere in the sea. It guides wrecked ships to shore.

Mewtwo Diamond           Mewtwo was created by recombining Mew's genes. It's said to have the most savage heart among Pokémon.

Mewtwo Pearl         Mewtwo was created by recombining Mew's genes. It's said to have the most savage heart among Pokémon.

Chikorita Diamond           It uses the leaf on its head to determine the air's temperature and humidity. It loves to sunbathe.

Chikorita Pearl         It uses the leaf on its head to determine the air's temperature and humidity. It loves to sunbathe.

Quilava Diamond           It intimidates foes with the heat of its flames. The fire burns stronger as it prepares to fight.

Quilava Pearl         It intimidates foes with the heat of its flames. The fire burns stronger as it prepares to fight.

Totodile Diamond           It has a habit of biting everything with its well-developed jaws. Even its Trainer needs to be careful.

Totodile Pearl         It has a habit of biting everything with its well-developed jaws. Even its Trainer needs to be careful.

Croconaw Diamond           Once it bites down, it won't let go until it loses its fangs. New fangs quickly grow into place.

Croconaw Pearl         Once it bites down, it won't let go until it loses its fangs. New fangs quickly grow into place.

Hoothoot Pearl         It switches its standing foot so quickly that the switch can't be seen. It cries at the same time every day.

Noctowl Pearl         If it flips its head upside down, it's a sign that it is engaged in very complex thinking.

Ledyba Diamond           It's so timid that it can't move unless it's with a swarm. It conveys its feelings through scent.

Ledyba Pearl         It's so timid that it can't move unless it's with a swarm. It conveys its feelings through scent.

Spinarak Diamond           It sets a trap by spinning a web with thin but strong thread. It waits motionlessly for prey to arrive.

Spinarak Pearl         It sets a trap by spinning a web with thin but strong thread. It waits motionlessly for prey to arrive.

Crobat Pearl         This Pokémon gained vastly enhanced flying capabilities after its legs became wings.

Chinchou Diamond           It discharges positive and negative electricity from the tips of its antennae to shock its foes.

Chinchou Pearl         It discharges positive and negative electricity from the tips of its antennae to shock its foes.

Lanturn Diamond           Lanturn's light can shine up from great depths. It is nicknamed the Deep-Sea Star.

Lanturn Pearl         Lanturn's light can shine up from great depths. It is nicknamed the Deep-Sea Star.

Pichu Diamond           The electric sacs on its cheeks are still small. They cannot store much electricity yet.

Togetic Diamond           It is said to appear in front of kindly people to scatter a glowing down called joy dust.

Togetic Pearl         It is said to appear in front of kindly people to scatter a glowing down called joy dust.

Xatu Diamond           This odd Pokémon can see both the past and the future. It eyes the sun's movement all day.

Xatu Pearl         This odd Pokémon can see both the past and the future. It eyes the sun's movement all day.

Mareep Diamond           Its fluffy coat doubles in size when static electricity builds up. Touching it can be shocking.

Mareep Pearl         Its fluffy coat doubles in size when static electricity builds up. Touching it can be shocking.

Flaaffy Diamond           If its coat becomes fully charged with electricity, its tail lights up. Flaaffy can fire hair that zaps on impact.

Flaaffy Pearl         If its coat becomes fully charged with electricity, its tail lights up. Flaaffy can fire hair that zaps on impact.

Ampharos Diamond           The tip of its tail shines brightly. In the olden days, people sent signals using the light from this Pokémon's tail.

Ampharos Pearl         The tip of its tail shines brightly. In the olden days, people sent signals using the light from this Pokémon's tail.

Marill Diamond           Using its tail as a float, it dives underwater. It likes eating plants that grow in riverbeds.

Sudowoodo Diamond           Though it looks like a tree, its body is actually more like rock or stone. The Pokémon is very weak to water.

Politoed Diamond           A group of Poliwag and Poliwhirl will form with a Politoed as the leader. Politoed's cries make the Pokémon of the group obey.

Politoed Pearl         A group of Poliwag and Poliwhirl will form with a Politoed as the leader. Politoed's cries make the Pokémon of the group obey.

Hoppip Diamond           They are blown adrift by winds. It is said that when Hoppip gather in fields and mountains, spring is on the way.

Hoppip Pearl         They are blown adrift by winds. It is said that when Hoppip gather in fields and mountains, spring is on the way.

Aipom Pearl         It lives atop giant trees. It wraps its tail around a branch so it won't fall off while asleep.

Sunkern Diamond           They may suddenly fall out of the sky in the morning. In the year following a cold summer, their population explodes.

Sunkern Pearl         They may suddenly fall out of the sky in the morning. In the year following a cold summer, their population explodes.

Yanma Diamond           Its eyes can see 360 degrees without the Pokémon moving its head. It won't miss prey— even those behind it.

Yanma Pearl         Its eyes can see 360 degrees without the Pokémon moving its head. It won't miss prey— even those behind it.

Quagsire Diamond           It has a sluggish nature. It lies at the river's bottom, waiting for prey to stray into its mouth.

Quagsire Pearl         A dim-witted Pokémon. It doesn't care if it bumps its head into boats or rocks while swimming.

Espeon Diamond           Its fur has the look and feel of velvet. The orb on its forehead glows when it uses psychic power.

Espeon Pearl         Its fur has the look and feel of velvet. The orb on its forehead glows when it uses psychic power.

Umbreon Diamond           The light of the moon changed Eevee's genetic structure. It lurks in the darkness, waiting for prey.

Umbreon Pearl         The light of the moon changed Eevee's genetic structure. It lurks in the darkness, waiting for prey.

Murkrow Pearl         It appears near travelers to lure them into deep forests. It is said to bring misfortune.

Slowking Diamond           Being bitten by Shellder gave it intelligence comparable to that of internationally recognized scientists.

Slowking Pearl         Being bitten by Shellder gave it intelligence comparable to that of internationally recognized scientists.

Misdreavus Diamond           It loves to sneak up on people late at night and startle them with its shrieking cry.

Misdreavus Pearl         It gets nourishment from fear that it absorbs into its red orbs. During the daytime, it sleeps in the shadows.

Unown Diamond           Because the Pokémon is shaped like ancient writing, it is a huge mystery whether written language or Unown came first.

Wobbuffet Diamond           It desperately tries to keep its black tail hidden. This behavior is said to be proof that its tail hides a secret.

Wobbuffet Pearl         It desperately tries to keep its black tail hidden. This behavior is said to be proof that its tail hides a secret.

Girafarig Diamond           Its tail has a separate small brain. The tail bites to repel any foe trying to sneak up on the Pokémon from behind.

Girafarig Pearl         While it sleeps, the head on its tail keeps watch. The tail doesn't need to sleep.

Forretress Diamond           It is encased in a steel shell. Forretress's eyes peer out, but what lies within this Pokémon's shell is unknown.

Forretress Pearl         It is encased in a steel shell. Forretress's eyes peer out, but what lies within this Pokémon's shell is unknown.

Gligar Diamond           It sails on the winds with its limbs extended to strike from the sky. It aims for the prey's face.

Gligar Pearl         It sails on the winds with its limbs extended to strike from the sky. It aims for the prey's face.

Steelix Pearl         It chews its way through boulders with its sturdy jaws. Its eyes can see in the darkness underground.

Snubbull Diamond           Small Pokémon flee from its scary face. It is, however, considered by many people to be cute.

Snubbull Pearl         Small Pokémon flee from its scary face. It is, however, considered by many people to be cute.

Qwilfish Diamond           It shoots the poison spikes on its body in all directions. Its round form makes it a poor swimmer.

Qwilfish Pearl         It shoots the poison spikes on its body in all directions. Its round form makes it a poor swimmer.

Shuckle Diamond           It stores berries in its shell. The berries mix with its body fluids to become delicious juices.

Shuckle Pearl         It stores berries in its shell. The berries mix with its body fluids to become delicious juices.

Heracross Diamond           It gathers in forests to search for tree sap, its favorite food. It's strong enough to hurl foes.

Heracross Pearl         Its powerful legs and claws give it enough power to hurl foes over great distances.

Sneasel Diamond           It feeds on eggs stolen from nests. Its sharply hooked claws rip vulnerable spots on prey.

Slugma Diamond           Its body is made of magma. If it doesn't keep moving, its body will cool and harden.

Slugma Pearl         Its body is made of magma. If it doesn't keep moving, its body will cool and harden.

Magcargo Diamond           Its body temperature is roughly 18,000 degrees Fahrenheit. Flames burst from gaps in its shell made of hardened magma.

Magcargo Pearl         Its body temperature is roughly 18,000 degrees Fahrenheit. Flames burst from gaps in its shell made of hardened magma.

Corsola Diamond           Many live in the clean seas of the south. They apparently can't live in polluted waters.

Corsola Pearl         Many live in the clean seas of the south. They apparently can't live in polluted waters.

Remoraid Pearl         It clings to Mantine to feed on the big Pokémon's scraps. This is an adaptation to avoid foes.

Octillery Pearl         It obscures its foe's vision by spitting a cloud of black ink. It makes its nest among boulders.

Delibird Diamond           It carries food rolled up in its tail. It has a habit of sharing food with people lost in the mountains.

Delibird Pearl         It carries food rolled up in its tail. It has a habit of sharing food with people lost in the mountains.

Mantine Pearl         It swims elegantly, mindless of Remoraid hitching onto its broad fins. It is naturally docile.

Skarmory Diamond           Skarmory is clad entirely in ironhard armor. It flies at speeds over 180 mph.

Skarmory Pearl         Skarmory is clad entirely in ironhard armor. It flies at speeds over 180 mph.

Donphan Diamond           It attacks by curling up and rolling into its foe. It can blow apart a house in one hit.

Donphan Pearl         It attacks by curling up and rolling into its foe. It can blow apart a house in one hit.

Hitmontop Diamond           It fights while spinning like a top. The centrifugal force boosts its destructive power by a factor of 10.

Hitmontop Pearl         It fights while spinning like a top. The centrifugal force boosts its destructive power by a factor of 10.

Elekid Diamond           It generates electricity by whirling its arms. However, it can't store the energy it makes.

Elekid Pearl         It generates electricity by whirling its arms. However, it can't store the energy it makes.

Magby Diamond           Its body temperature is around 1,100 degrees Fahrenheit. It is healthy if it is exhaling yellow flames.

Magby Pearl         Its body temperature is around 1,100 degrees Fahrenheit. It is healthy if it is exhaling yellow flames.

Miltank Diamond           It is said that kids who drink Miltank's milk grow up to become hearty, healthy adults.

Miltank Pearl         It is said that kids who drink Miltank's milk grow up to become hearty, healthy adults.

Blissey Diamond           This kindhearted Pokémon nurses sick Pokémon to health. It senses feelings of sadness.

Suicune Diamond           It races around the world to purify fouled water. It dashes away with the north wind.

Suicune Pearl         It races around the world to purify fouled water. It dashes away with the north wind.

Larvitar Diamond           This Pokémon eats soil. Once it has eaten a large mountain, it goes to sleep so it can grow.

Larvitar Pearl         This Pokémon eats soil. Once it has eaten a large mountain, it goes to sleep so it can grow.

Ho-Oh Diamond           Its feathers are in seven colors. It is said that anyone seeing it is promised eternal happiness.

Ho-Oh Pearl         Its feathers are in seven colors. It is said that anyone seeing it is promised eternal happiness.

Treecko Diamond           The soles of its feet are covered by countless tiny hooks, enabling it to walk on walls and ceilings.

Treecko Pearl         The soles of its feet are covered by countless tiny hooks, enabling it to walk on walls and ceilings.

Torchic Diamond           A fire burns inside it, so it feels very warm to hug. It launches fireballs of 1,800 degrees Fahrenheit.

Torchic Pearl         A fire burns inside it, so it feels very warm to hug. It launches fireballs of 1,800 degrees Fahrenheit.

Mudkip Diamond           Using the fin on its head, Mudkip senses the flow of water to keep track of what's going on around it. Mudkip has the strength to heft boulders.

Mudkip Pearl         Using the fin on its head, Mudkip senses the flow of water to keep track of what's going on around it. Mudkip has the strength to heft boulders.

Zigzagoon Diamond           It walks in zigzag fashion. It's good at finding items in the grass and even in the ground.

Zigzagoon Pearl         It walks in zigzag fashion. It's good at finding items in the grass and even in the ground.

Wurmple Pearl         It spits a white silk thread that turns sticky when coming into contact with air. The silk is used to immobilize foes.

Silcoon Pearl         It drinks dew that collects on its silk while it waits for evolution. Its hard cocoon repels attacks.

Beautifly Diamond           It has an aggressive nature. It stabs prey with its long, narrow mouth to drain the prey's fluids.

Dustox Diamond           Dustox are nocturnal Pokémon. Drawn by streetlights, they messily eat the leaves of trees lining boulevards.

Lotad Diamond           It looks like an aquatic plant and serves as a ferry for Pokémon that can't swim.

Lotad Pearl         It looks like an aquatic plant and serves as a ferry for Pokémon that can't swim.

Ludicolo Diamond           If it hears festive music, all its muscles fill with energy. It can't help breaking out into a dance.

Ludicolo Pearl         If it hears festive music, all its muscles fill with energy. It can't help breaking out into a dance.

Seedot Diamond           When it dangles from a tree branch, it looks just like an acorn. It enjoys scaring other Pokémon that try to peck at it.

Seedot Pearl         When it dangles from a tree branch, it looks just like an acorn. It enjoys scaring other Pokémon that try to peck at it.

Nuzleaf Diamond           The sound of its grass flute makes its listeners uneasy. It lives deep in the forest.

Nuzleaf Pearl         The sound of its grass flute makes its listeners uneasy. It lives deep in the forest.

Shiftry Diamond           By flapping its leafy fans, it can whip up gusts of 100 feet per second that can level houses.

Shiftry Pearl         By flapping its leafy fans, it can whip up gusts of 100 feet per second that can level houses.

Swellow Diamond           It circles the sky in search of prey and dives sharply to catch its target.

Swellow Pearl         It circles the sky in search of prey and dives sharply to catch its target.

Kirlia Diamond           It is highly perceptive of its Trainer's feelings. It dances when it is feeling happy.

Kirlia Pearl         It is highly perceptive of its Trainer's feelings. It dances when it is feeling happy.

Surskit Diamond           It appears as if it is skating on water. It draws prey in with a sweet scent released from the tip of its head.

Surskit Pearl         It appears as if it is skating on water. It draws prey in with a sweet scent released from the tip of its head.

Shroomish Diamond           It spouts poison spores from the top of its head. These spores cause pain all over the body if inhaled.

Shroomish Pearl         It spouts poison spores from the top of its head. These spores cause pain all over the body if inhaled.

Vigoroth Diamond           Its heart beats at 10 times its previous rate, so it cannot sit still for even a moment.

Vigoroth Pearl         Its heart beats at 10 times its previous rate, so it cannot sit still for even a moment.

Slaking Diamond           It is the world's laziest Pokémon. When it is lounging, it is actually saving energy for striking back.

Slaking Pearl         It is the world's laziest Pokémon. When it is lounging, it is actually saving energy for striking back.

Ninjask Diamond           Because they move so quickly, they sometimes become unseeable. They congregate around tree sap.

Ninjask Pearl         Because they move so quickly, they sometimes become unseeable. They congregate around tree sap.

Shedinja Diamond           It is a discarded bug shell that came to life. Peering into the crack on its back is said to steal one's spirit.

Shedinja Pearl         It is a discarded bug shell that came to life. Peering into the crack on its back is said to steal one's spirit.

Hariyama Diamond           It loves to match power with big-bodied Pokémon. It can send a truck flying with its arm thrusts.

Hariyama Pearl         It loves to match power with big-bodied Pokémon. It can send a truck flying with its arm thrusts.

Azurill Diamond           It's a Pokémon that lives by water. It moves quickly on land by bouncing on its big tail.

Skitty Diamond           It can't stop itself from chasing moving things, and it runs in circles, chasing its own tail.

Skitty Pearl         It can't stop itself from chasing moving things, and it runs in circles, chasing its own tail.

Delcatty Diamond           It is highly popular among Trainers for its sublime fur. It does not keep a nest.

Delcatty Pearl         It is highly popular among Trainers for its sublime fur. It does not keep a nest.

Aron Diamond           It usually lives deep in mountains. But when it's hungry, it shows up at the foot of the mountains and eats railroad tracks and cars.

